tb_displayname,log_datetime,log_date,tb_name,PowActNet_max,PowActNet_avg,Reactive_Power_min,Wind_Speed_min,Wind_Speed_max,Wind_Speed_Avg,Produced_Energy,Gea_BeaTem1_max,Gea_BeaTem_avg,Gea_BeaTem2_max,Gea_BeaTem2_avg,Gen_BeaDe_tem_max,Gen_BeaDe_Tem_avg,Gen_BeaNdeTem_max,Gen_BeaNdeTem_avg,Gea_BeaTem3_max,Gea_BeaTem3_ave,Con_LscIgbTemFilMax_max,Con_LscIgbTemFilMax_ave,Con_GscIgbTemFilMax_max,Con_GscIgbTemFilMax_ave,PlcInf_PowCrvVld_min
GGM107,01-12-2024 00:00,01-12-2024,GGM107,1001.04718,928.5699463,-62.62207031,5.940000057,9.869999886,7.773965359,154.8134155,52.6925087,52.58356094,60.73549652,60.64802933,53.10496902,52.70983124,55.05495834,53.62430954,65.32172394,65.08036041,54,52.72009277,44,41.4936676,3
GGM107,01-12-2024 00:10,01-12-2024,GGM107,959.4124146,884.3981323,-61.15722656,6.440000057,9.760000229,7.601537228,147.3505554,52.57468796,52.45488739,60.60514832,60.49979401,52.78644562,52.39074707,54.2698822,53.45471191,65.09746552,64.83096313,54,50.92947769,44,39.48649597,3
GGM107,01-12-2024 00:20,01-12-2024,GGM107,999.8220825,889.7259521,-60.05859375,6.289999962,8.890000343,7.526929379,148.3370819,52.43769455,52.29170609,60.45292664,60.34403992,52.42966461,52.06383133,54.42861176,53.34682083,64.74861145,64.49234772,55,51.9566803,44,40.66577911,3
GGM107,01-12-2024 00:30,01-12-2024,GGM107,1034.925659,983.6355591,-48.52294922,6.409999847,9.510000229,7.872374058,164.0212402,52.33119965,52.21371078,60.33613968,60.27317429,52.13969421,51.74821854,54.17526627,53.18759155,64.92064667,64.55872345,55,53.10811234,44,41.96068573,3
GGM107,01-12-2024 00:40,01-12-2024,GGM107,1070.45105,1008.882629,-44.49462891,6.420000076,9.88999939,8.074056625,168.1470947,52.31726456,52.19938278,60.3926239,60.32363129,51.87283707,51.59155655,54.37743378,53.26435089,64.93714905,64.695755,55,51.68799973,45,40.29116821,3
GGM107,01-12-2024 00:50,01-12-2024,GGM107,1101.952026,1023.348633,-43.57910156,6.420000076,9.739999771,7.894119263,170.387558,52.28833771,52.18750763,60.39954376,60.33656311,51.79784393,51.48845673,54.10647202,53.17733765,64.91619873,64.67960358,55,52.35301971,45,41.14598083,3
GGM107,01-12-2024 01:00,01-12-2024,GGM107,1051.916138,1010.276672,-41.38183594,6.329999924,9.539999962,7.880920887,168.4916992,52.33626175,52.20966339,60.40364838,60.34194183,51.84843063,51.45540619,54.4992218,53.34851456,64.97964478,64.74666595,55,52.86925507,44,41.69437027,3
GGM107,01-12-2024 01:10,01-12-2024,GGM107,1035.746216,991.9271851,-45.95947266,6.070000172,9.829999924,7.830826759,165.3487549,52.28094864,52.17437744,60.37052155,60.2711525,51.82738113,51.47426987,54.48085403,53.29756165,65.00514221,64.76673889,55,52.48291779,43,41.15547562,3
GGM107,01-12-2024 01:20,01-12-2024,GGM107,1052.456909,1015.550659,-41.93115234,6.210000038,9.720000267,7.810810089,169.258316,52.23456573,52.14419937,60.30895233,60.23272324,51.685009,51.4529686,54.30006409,53.13731003,64.93735504,64.6241684,55,51.94533157,44,40.64183426,3
GGM107,01-12-2024 01:30,01-12-2024,GGM107,1065.823608,1022.662903,-40.83251953,6.329999924,9.869999886,7.949409485,170.2732239,52.2445755,52.1473465,60.30467987,60.24549484,51.78331375,51.4633255,54.27821732,53.15734863,64.87417603,64.65092468,55,52.44361115,44,41.16233063,3
